"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Netherlands (NL)","19.11.2021 11:30 - 19.11.2021 11:45 (CET)","0","n/e","n/e","4138","3554","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","483","n/e","13","51","1341","413"
"Netherlands (NL)","19.11.2021 11:45 - 19.11.2021 12:00 (CET)","0","n/e","n/e","3979","3689","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","488","n/e","16","52","1355","397"
"Netherlands (NL)","19.11.2021 12:00 - 19.11.2021 12:15 (CET)","0","n/e","n/e","4084","3809","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","494","n/e","15","52","1385","396"
"Netherlands (NL)","19.11.2021 12:15 - 19.11.2021 12:30 (CET)","0","n/e","n/e","4057","3821","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","503","n/e","13","52","1398","408"
"Netherlands (NL)","19.11.2021 12:30 - 19.11.2021 12:45 (CET)","0","n/e","n/e","4049","3848","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","503","n/e","12","51","1415","388"
"Netherlands (NL)","19.11.2021 12:45 - 19.11.2021 13:00 (CET)","0","n/e","n/e","3954","3863","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","503","n/e","13","51","1400","378"
"Netherlands (NL)","19.11.2021 13:00 - 19.11.2021 13:15 (CET)","0","n/e","n/e","3593","3848","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","511","n/e","14","51","1353","383"
"Netherlands (NL)","19.11.2021 13:15 - 19.11.2021 13:30 (CET)","0","n/e","n/e","3595","3868","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","511","n/e","16","52","1340","372"
"Netherlands (NL)","19.11.2021 13:30 - 19.11.2021 13:45 (CET)","0","n/e","n/e","3699","3865","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","522","n/e","11","52","1306","372"
"Netherlands (NL)","19.11.2021 13:45 - 19.11.2021 14:00 (CET)","0","n/e","n/e","3737","3869","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","517","n/e","14","51","1268","371"
"Netherlands (NL)","19.11.2021 14:00 - 19.11.2021 14:15 (CET)","0","n/e","n/e","4024","3859","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","525","n/e","11","52","1242","378"
"Netherlands (NL)","19.11.2021 14:15 - 19.11.2021 14:30 (CET)","0","n/e","n/e","4222","3859","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","548","n/e","16","53","1184","396"
"Netherlands (NL)","19.11.2021 14:30 - 19.11.2021 14:45 (CET)","0","n/e","n/e","4312","3860","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","558","n/e","10","53","1165","382"
"Netherlands (NL)","19.11.2021 14:45 - 19.11.2021 15:00 (CET)","0","n/e","n/e","4410","3818","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","565","n/e","9","52","1185","368"
"Netherlands (NL)","19.11.2021 15:00 - 19.11.2021 15:15 (CET)","0","n/e","n/e","4398","3864","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","579","n/e","9","51","1212","372"
"Netherlands (NL)","19.11.2021 15:15 - 19.11.2021 15:30 (CET)","0","n/e","n/e","4603","3863","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","591","n/e","5","51","1215","350"
"Netherlands (NL)","19.11.2021 15:30 - 19.11.2021 15:45 (CET)","0","n/e","n/e","4789","3867","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","619","n/e","4","50","1236","329"
"Netherlands (NL)","19.11.2021 15:45 - 19.11.2021 16:00 (CET)","0","n/e","n/e","4957","3863","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","646","n/e","3","52","1204","336"
"Netherlands (NL)","19.11.2021 16:00 - 19.11.2021 16:15 (CET)","0","n/e","n/e","4778","3865","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","620","n/e","2","50","1162","305"
